id,train_or_test,cap_shape,shape,sColour,is_imputed,sColour_mode,sColour_smart
2075,train,x,e,h,no,h,h
2076,test,f,e,k,no,k,k
2077,train,f,t,n,no,n,n
2078,test,f,e,h,yes,w,h
2079,test,f,e,h,no,h,h
2080,test,x,e,b,no,b,b
2081,test,f,e,h,no,h,h
2082,test,f,t,w,no,w,w
2083,test,f,e,h,no,h,h
2084,train,f,t,n,no,n,n
2085,test,k,t,w,no,w,w
2086,test,x,e,h,no,h,h
2087,test,x,e,h,no,h,h
2088,train,f,e,k,yes,w,h
2089,test,x,e,k,yes,w,h
2090,train,f,e,n,no,n,n
2091,test,x,t,n,no,n,n
2092,test,f,t,w,no,w,w
2093,test,x,e,n,no,n,n
2094,test,f,t,w,no,w,w
2095,test,x,e,h,no,h,h
2096,train,b,e,r,no,r,r
2097,test,f,t,k,yes,w,n
2098,train,k,t,w,no,w,w
2099,test,x,e,h,no,h,h
2100,test,f,t,w,no,w,w
2101,train,k,e,n,no,n,n
2102,train,f,t,k,no,k,k
2103,test,f,t,w,no,w,w
2104,test,f,t,w,no,w,w
2105,test,f,t,k,no,k,k
2106,train,x,t,w,no,w,w
2107,test,x,e,h,no,h,h
2108,train,f,t,w,no,w,w
2109,test,f,e,h,no,h,h
2110,test,x,t,k,no,k,k
2111,train,x,e,k,no,k,k
2112,train,x,t,n,yes,w,n
2113,test,x,t,n,no,n,n
2114,test,f,t,w,no,w,w
2115,test,x,t,n,no,n,n
2116,test,k,t,w,no,w,w
2117,train,f,t,n,no,n,n
2118,test,x,t,n,no,n,n
2119,test,x,t,w,no,w,w
2120,test,f,e,k,yes,w,h
2121,test,x,t,w,no,w,w
2122,test,x,t,w,no,w,w
2123,test,f,e,o,no,o,o
2124,train,x,t,k,no,k,k
2125,train,x,e,n,no,n,n
2126,test,x,e,k,no,k,k
2127,train,x,e,w,no,w,w
2128,test,x,e,n,no,n,n
2129,test,k,t,w,no,w,w
2130,test,x,e,h,no,h,h
2131,test,x,e,h,no,h,h
2132,test,f,e,h,yes,w,h
2133,test,f,t,w,no,w,w
2134,train,k,t,w,no,w,w
2135,test,b,e,n,no,n,n
2136,test,x,e,b,no,b,b
2137,test,f,t,h,yes,w,n
2138,test,x,e,k,no,k,k
2139,test,x,t,n,no,n,n
2140,test,x,e,h,no,h,h
2141,test,f,t,k,no,k,k
2142,train,x,e,k,no,k,k
2143,test,f,e,n,no,n,n
2144,test,x,t,w,no,w,w
2145,test,x,t,u,no,u,u
2146,train,x,t,w,no,w,w
2147,test,x,t,w,yes,w,n
2148,test,k,t,w,no,w,w
2149,test,f,e,h,no,h,h
2150,train,f,e,h,no,h,h
2151,test,x,t,k,no,k,k
2152,test,f,t,k,yes,w,n
2153,test,k,e,w,yes,w,w
2154,train,f,e,h,yes,w,h
2155,test,f,e,k,no,k,k
2156,test,f,e,h,no,h,h
2157,test,f,t,k,no,k,k
2158,test,x,e,n,no,n,n
2159,test,x,t,w,no,w,w
2160,test,f,t,n,yes,w,n
2161,train,f,t,n,no,n,n
2162,train,f,t,w,no,w,w
2163,test,x,e,h,no,h,h
2164,test,f,t,k,no,k,k
2165,test,x,e,h,no,h,h
2166,train,x,e,h,no,h,h
2167,test,x,t,k,no,k,k
2168,train,x,t,h,no,h,h
2169,test,f,t,k,no,k,k
2170,test,f,t,k,yes,w,n
2171,test,f,t,w,no,w,w
2172,test,f,t,w,yes,w,n
2173,test,x,t,k,no,k,k
2174,train,f,t,h,no,h,h
2175,test,f,e,w,no,w,w
2176,test,f,e,n,no,n,n
2177,train,x,e,h,no,h,h
2178,test,x,t,n,yes,w,n
2179,test,f,e,h,yes,w,h
2180,test,x,e,n,no,n,n
2181,test,f,t,n,no,n,n
2182,test,f,t,w,yes,w,n
2183,train,f,t,w,yes,w,n
2184,test,b,e,k,no,k,k
2185,test,f,t,k,no,k,k
2186,test,f,t,k,no,k,k
2187,test,x,e,w,no,w,w
2188,test,b,e,w,yes,w,n
2189,test,x,e,h,no,h,h
2190,train,f,t,w,yes,w,n
2191,test,f,t,k,no,k,k
2192,test,f,e,h,no,h,h
2193,test,f,e,h,no,h,h
2194,test,x,e,n,no,n,n
2195,test,f,t,w,no,w,w
2196,test,f,t,k,no,k,k
2197,train,k,t,w,no,w,w
2198,test,x,e,h,no,h,h
2199,test,x,e,n,yes,w,h
2200,test,x,t,n,no,n,n
2201,test,x,e,h,no,h,h
2202,test,x,t,w,yes,w,n
2203,test,f,e,h,no,h,h
2204,train,x,e,h,no,h,h
2205,test,f,e,w,no,w,w
2206,test,f,t,k,no,k,k
2207,test,k,t,w,no,w,w
2208,test,f,t,w,no,w,w
2209,train,f,e,h,yes,w,h
2210,test,x,t,n,no,n,n
2211,test,f,t,n,no,n,n
2212,test,x,t,k,no,k,k
2213,test,x,t,w,no,w,w
2214,train,x,t,h,no,h,h
2215,test,x,t,k,no,k,k
2216,test,x,t,n,yes,w,n
2217,test,x,t,n,no,n,n
2218,test,f,t,n,no,n,n
2219,test,f,t,n,yes,w,n
2220,train,x,e,h,yes,w,h
2221,train,x,t,h,no,h,h
2222,train,f,t,w,yes,w,n
2223,train,b,e,r,no,r,r
2224,test,x,t,k,no,k,k
2225,train,k,e,w,no,w,w
2226,test,k,e,w,no,w,w
2227,test,f,e,w,no,w,w
2228,test,f,t,k,yes,w,n
2229,test,x,e,n,no,n,n
2230,test,f,e,h,no,h,h
2231,test,f,e,h,no,h,h
2232,train,f,e,h,no,h,h
2233,test,f,e,h,no,h,h
2234,test,x,t,w,no,w,w
2235,test,k,t,w,no,w,w
2236,test,x,t,k,no,k,k
2237,train,f,e,h,no,h,h
2238,train,f,t,h,no,h,h
2239,train,b,e,n,no,n,n
2240,test,x,t,n,no,n,n
2241,test,x,t,k,no,k,k
2242,train,x,t,k,no,k,k
2243,test,x,t,w,no,w,w
2244,test,b,e,w,yes,w,n
2245,test,f,t,n,no,n,n
2246,train,x,e,h,yes,w,h
2247,test,x,e,h,yes,w,h
2248,test,f,t,w,no,w,w
2249,test,x,e,h,no,h,h
2250,train,x,t,k,no,k,k
2251,test,x,e,h,no,h,h
2252,test,x,t,k,no,k,k
2253,test,f,e,h,no,h,h
2254,test,x,e,h,no,h,h
2255,test,x,t,n,no,n,n
2256,test,x,t,n,no,n,n
2257,train,x,e,n,no,n,n
2258,test,b,e,w,no,w,w
2259,test,x,t,n,yes,w,n
2260,test,f,t,k,yes,w,n
2261,train,f,t,k,yes,w,n
2262,test,x,t,k,yes,w,n
2263,test,f,t,k,no,k,k
2264,test,f,t,k,no,k,k
2265,test,x,t,n,no,n,n
2266,train,x,t,w,yes,w,n
2267,test,f,t,k,no,k,k
2268,test,x,t,w,no,w,w
2269,test,b,e,k,yes,w,n
2270,test,x,e,n,no,n,n
2271,test,x,t,k,no,k,k
2272,test,x,e,n,yes,w,h
2273,test,f,t,w,no,w,w
2274,test,x,e,h,no,h,h
2275,test,k,t,w,no,w,w
2276,train,x,e,n,no,n,n
2277,train,b,e,n,no,n,n
2278,test,f,e,w,no,w,w
2279,train,f,e,h,yes,w,h
2280,train,f,t,k,no,k,k
2281,train,x,t,h,no,h,h
2282,test,x,t,n,yes,w,n
2283,test,k,e,b,yes,w,w
2284,test,b,e,n,yes,w,n
2285,test,x,t,n,yes,w,n
2286,test,x,e,k,no,k,k
2287,test,x,e,h,no,h,h
2288,test,f,e,n,yes,w,h
2289,test,x,e,n,no,n,n
2290,train,f,t,w,no,w,w
2291,test,b,e,w,no,w,w
2292,test,b,e,w,no,w,w
2293,test,f,t,k,no,k,k
2294,test,f,e,h,no,h,h
2295,test,f,e,h,no,h,h
2296,test,f,e,h,no,h,h
2297,test,f,t,k,no,k,k
2298,test,s,e,k,no,k,k
2299,test,f,t,n,no,n,n
2300,test,f,e,h,no,h,h
2301,test,f,e,n,no,n,n
2302,test,f,t,k,no,k,k
2303,test,f,e,k,no,k,k
2304,test,x,t,n,yes,w,n
2305,test,x,e,h,no,h,h
2306,test,x,t,n,no,n,n
2307,train,x,t,k,no,k,k
2308,test,x,e,n,no,n,n
2309,test,x,t,h,no,h,h
2310,test,f,t,h,no,h,h
2311,test,f,t,k,no,k,k
2312,test,f,e,n,no,n,n
2313,train,f,e,h,no,h,h
2314,test,f,t,n,no,n,n
2315,train,x,t,w,no,w,w
2316,test,x,t,n,no,n,n
2317,test,f,t,k,no,k,k
2318,train,x,t,w,no,w,w
2319,test,x,t,k,no,k,k
2320,test,x,e,k,no,k,k
2321,test,f,t,k,no,k,k
2322,test,k,t,w,no,w,w
2323,test,f,t,k,yes,w,n
2324,train,x,e,w,no,w,w
2325,test,x,e,h,no,h,h
2326,test,b,e,k,no,k,k
2327,test,f,t,n,no,n,n
2328,train,k,e,w,yes,w,w
2329,train,x,t,n,no,n,n
2330,test,x,e,n,yes,w,h
2331,test,f,t,k,no,k,k
2332,test,x,t,k,no,k,k
2333,test,f,e,n,no,n,n
2334,test,x,t,k,yes,w,n
2335,test,k,t,w,no,w,w
2336,test,f,t,k,no,k,k
2337,test,f,t,k,no,k,k
2338,test,f,e,h,no,h,h
2339,test,x,e,h,no,h,h
2340,test,f,t,k,no,k,k
2341,test,f,t,n,no,n,n
2342,test,x,e,n,yes,w,h
2343,test,b,e,b,no,b,b
2344,test,f,e,h,no,h,h
2345,test,x,t,n,no,n,n
2346,test,f,t,h,no,h,h
2347,train,x,e,n,no,n,n
2348,test,f,t,k,no,k,k
2349,train,x,e,k,no,k,k
2350,test,x,t,n,no,n,n
2351,test,x,e,k,no,k,k
2352,train,f,t,n,yes,w,n
2353,test,k,t,w,no,w,w
2354,test,x,e,n,no,n,n
2355,test,x,e,k,no,k,k
2356,test,k,t,w,yes,w,w
2357,test,f,e,h,no,h,h
2358,test,f,e,h,no,h,h
2359,test,x,t,w,no,w,w
2360,test,x,e,n,no,n,n
2361,train,x,t,k,no,k,k
2362,test,b,e,n,yes,w,n
2363,test,x,t,w,no,w,w
2364,test,x,t,h,no,h,h
2365,test,f,t,w,no,w,w
2366,test,f,t,h,no,h,h
2367,test,f,e,h,no,h,h
2368,test,x,t,w,no,w,w
2369,test,x,t,n,no,n,n
2370,test,f,e,h,no,h,h
2371,test,f,e,k,yes,w,h
2372,test,x,t,w,no,w,w
2373,test,f,e,h,yes,w,h
2374,test,x,t,w,no,w,w
2375,test,f,t,n,yes,w,n
2376,test,k,t,w,no,w,w
2377,test,x,e,h,no,h,h
2378,train,k,e,n,no,n,n
2379,test,f,t,w,no,w,w
2380,test,x,e,n,yes,w,h
2381,test,x,t,k,no,k,k
2382,test,x,e,h,no,h,h
2383,test,x,t,k,no,k,k
2384,train,f,t,k,no,k,k
2385,test,f,e,h,no,h,h
2386,test,f,e,h,no,h,h
2387,train,k,t,w,no,w,w
2388,test,x,e,h,no,h,h
2389,test,k,t,w,no,w,w
2390,train,f,e,h,no,h,h
2391,test,x,e,h,no,h,h
2392,test,f,t,k,no,k,k
2393,train,x,t,n,no,n,n
2394,test,f,t,w,no,w,w
2395,test,f,e,h,no,h,h
2396,test,f,t,w,no,w,w
2397,test,f,t,n,no,n,n
2398,test,f,e,n,no,n,n
2399,test,x,t,n,no,n,n
2400,test,f,e,h,no,h,h
2401,train,f,t,n,yes,w,n
2402,test,x,e,h,no,h,h
2403,test,k,t,w,no,w,w
2404,test,b,e,n,yes,w,n
2405,test,x,t,n,no,n,n
2406,test,x,t,w,no,w,w
2407,train,k,t,w,no,w,w
2408,test,k,e,b,yes,w,w
2409,train,x,e,n,no,n,n
2410,test,x,e,k,no,k,k
2411,test,x,t,n,no,n,n
2412,test,x,e,h,no,h,h
2413,test,f,t,k,no,k,k
2414,test,f,t,k,no,k,k
2415,test,f,t,k,no,k,k
2416,test,f,e,h,no,h,h
2417,test,f,e,h,no,h,h
2418,test,f,e,h,yes,w,h
2419,test,f,t,n,no,n,n
2420,train,f,t,n,yes,w,n
2421,test,f,t,u,no,u,u
2422,test,x,e,n,no,n,n
2423,test,x,e,h,no,h,h
2424,test,f,t,n,no,n,n
2425,test,f,t,w,no,w,w
2426,test,x,t,k,no,k,k
2427,test,x,t,w,no,w,w
2428,train,c,e,w,no,w,w
2429,train,b,e,n,no,n,n
2430,test,x,t,n,no,n,n
2431,test,x,t,n,no,n,n
2432,test,f,t,n,no,n,n
2433,test,f,e,h,no,h,h
2434,test,k,e,w,no,w,w
2435,test,f,t,k,no,k,k
2436,test,f,t,w,no,w,w
2437,test,f,t,n,no,n,n
2438,test,f,e,h,no,h,h
2439,test,k,t,w,no,w,w
2440,test,x,t,n,no,n,n
2441,test,f,e,n,no,n,n
2442,test,x,t,n,no,n,n
2443,test,x,t,n,no,n,n
2444,train,x,e,h,no,h,h
2445,test,b,e,w,no,w,w
2446,test,x,t,n,no,n,n
2447,test,f,t,n,no,n,n
2448,test,f,t,w,no,w,w
2449,test,s,e,n,no,n,n
2450,test,f,t,n,no,n,n
2451,test,x,e,k,no,k,k
2452,test,x,t,n,yes,w,n
2453,test,x,e,n,yes,w,h
2454,train,x,t,n,no,n,n
2455,test,k,t,w,no,w,w
2456,test,x,e,h,yes,w,h
2457,test,x,e,k,yes,w,h
2458,train,x,e,h,no,h,h
2459,train,f,t,h,no,h,h
2460,test,b,e,k,no,k,k
2461,test,f,t,n,no,n,n
2462,test,b,e,w,no,w,w
2463,test,f,t,k,yes,w,n
2464,train,x,e,n,no,n,n
2465,train,x,t,n,yes,w,n
2466,test,x,e,k,no,k,k
2467,test,x,t,w,no,w,w
2468,test,k,t,w,no,w,w
2469,test,x,e,h,no,h,h
2470,test,x,t,k,no,k,k
2471,test,x,t,k,no,k,k
2472,test,f,t,w,no,w,w
2473,test,f,t,k,no,k,k
2474,test,f,t,w,no,w,w
2475,test,x,e,h,no,h,h
2476,test,x,e,n,no,n,n
2477,test,x,t,w,no,w,w
2478,test,x,e,k,no,k,k
2479,test,x,t,n,yes,w,n
2480,test,f,t,w,no,w,w
2481,test,x,e,h,no,h,h
2482,test,k,t,w,no,w,w
2483,test,b,e,w,no,w,w
2484,train,f,e,h,no,h,h
2485,test,x,e,b,no,b,b
2486,train,x,e,h,no,h,h
2487,train,x,t,n,no,n,n
2488,train,b,e,k,yes,w,n
2489,test,f,t,n,no,n,n
2490,test,x,e,w,yes,w,h
2491,test,f,t,n,no,n,n
2492,train,f,t,w,no,w,w
2493,test,f,t,k,no,k,k
2494,test,x,e,k,yes,w,h
2495,test,s,e,k,no,k,k
2496,test,b,e,w,no,w,w
2497,test,f,t,k,no,k,k
2498,train,f,t,w,no,w,w
2499,train,x,e,h,no,h,h
2500,test,f,e,n,no,n,n
2501,test,x,t,n,no,n,n
2502,test,k,e,o,yes,w,w
2503,test,x,t,n,no,n,n
2504,train,b,e,n,no,n,n
2505,test,x,e,h,yes,w,h
2506,train,x,t,n,yes,w,n
2507,test,x,e,n,no,n,n
2508,test,f,t,w,no,w,w
2509,test,x,t,n,no,n,n
2510,test,x,e,h,yes,w,h
2511,test,x,t,k,no,k,k
2512,train,f,t,k,no,k,k
2513,test,x,e,h,no,h,h
2514,test,x,e,h,no,h,h
2515,test,x,t,n,no,n,n
2516,test,x,e,h,no,h,h
2517,test,b,e,k,no,k,k
2518,train,f,t,k,no,k,k
2519,test,b,e,k,no,k,k
2520,train,f,e,h,no,h,h
2521,test,f,t,n,no,n,n
2522,test,x,e,h,no,h,h
2523,test,x,e,w,yes,w,h
2524,test,x,t,n,no,n,n
2525,test,x,e,h,no,h,h
2526,train,f,e,h,no,h,h
2527,test,x,e,w,yes,w,h
2528,test,f,e,n,no,n,n
2529,test,x,t,w,no,w,w
2530,test,x,t,n,no,n,n
2531,test,x,e,h,no,h,h
2532,train,k,t,w,no,w,w
2533,test,k,t,w,no,w,w
2534,test,x,t,n,no,n,n
2535,test,f,e,h,no,h,h
2536,test,x,t,n,yes,w,n
2537,test,f,t,n,yes,w,n
2538,test,k,t,w,yes,w,w
2539,train,f,e,h,no,h,h
2540,test,k,t,w,no,w,w
2541,train,x,t,n,no,n,n
2542,test,f,t,k,no,k,k
2543,test,f,t,w,no,w,w
2544,test,f,t,w,no,w,w
2545,train,f,t,n,no,n,n
2546,test,x,t,k,no,k,k
2547,test,f,t,h,no,h,h
2548,test,x,t,k,no,k,k
2549,test,f,t,w,no,w,w
2550,test,f,t,n,no,n,n
2551,test,x,t,w,no,w,w
2552,train,k,e,w,no,w,w
2553,test,x,e,w,no,w,w
2554,test,b,e,n,yes,w,n
2555,test,f,t,h,yes,w,n
2556,train,b,e,w,yes,w,n
2557,test,f,e,h,no,h,h
2558,test,x,e,k,no,k,k
2559,test,f,t,w,yes,w,n
2560,test,f,e,k,no,k,k
2561,test,b,e,k,no,k,k
2562,test,k,t,w,no,w,w
2563,train,b,e,n,no,n,n
2564,test,f,e,h,no,h,h
2565,test,k,e,w,no,w,w
2566,test,x,e,n,yes,w,h
2567,train,x,t,k,no,k,k
2568,train,f,t,w,no,w,w
2569,test,x,e,w,yes,w,h
2570,test,k,t,w,yes,w,w
2571,train,x,e,h,no,h,h
2572,test,x,t,w,no,w,w
2573,test,x,e,n,yes,w,h
2574,test,f,t,k,no,k,k
2575,test,x,e,n,no,n,n
2576,test,x,t,h,no,h,h
2577,test,x,t,w,no,w,w
2578,test,f,t,k,no,k,k
2579,test,x,t,k,no,k,k
2580,test,k,t,w,no,w,w
2581,test,x,t,n,yes,w,n
2582,test,f,e,n,yes,w,h
2583,test,x,t,h,yes,w,n
2584,test,f,t,k,no,k,k
2585,test,b,e,n,no,n,n
2586,train,x,e,w,yes,w,h
2587,test,x,t,w,yes,w,n
2588,test,x,t,n,no,n,n
2589,test,x,t,k,yes,w,n
2590,test,x,t,n,no,n,n
2591,test,x,t,k,no,k,k
2592,test,f,t,h,no,h,h
2593,train,f,t,k,no,k,k
2594,test,x,e,n,no,n,n
2595,test,f,e,k,no,k,k
2596,test,f,e,h,no,h,h
2597,train,x,e,h,no,h,h
2598,test,f,e,h,no,h,h
2599,test,f,e,h,no,h,h
2600,train,f,t,k,no,k,k
2601,test,x,t,h,no,h,h
2602,test,x,e,n,no,n,n
2603,test,f,t,n,no,n,n
2604,test,f,t,w,yes,w,n
2605,test,f,e,n,no,n,n
2606,test,x,t,k,yes,w,n
2607,test,f,t,k,no,k,k
2608,train,f,t,w,yes,w,n
2609,train,x,e,w,yes,w,h
2610,train,f,t,w,no,w,w
2611,train,x,t,n,no,n,n
2612,test,x,e,h,no,h,h
2613,test,k,e,w,no,w,w
2614,test,x,t,h,no,h,h
2615,test,f,t,k,no,k,k
2616,test,f,t,k,no,k,k
2617,train,x,t,k,no,k,k
2618,test,x,t,w,no,w,w
2619,test,k,t,w,no,w,w
2620,test,x,t,n,no,n,n
2621,test,b,e,w,no,w,w
2622,test,x,t,h,no,h,h
2623,test,f,t,n,no,n,n
2624,test,x,t,k,no,k,k
2625,train,f,t,w,no,w,w
2626,test,f,t,n,no,n,n
2627,test,k,t,w,no,w,w
2628,test,f,t,h,no,h,h
2629,train,x,t,n,yes,w,n
2630,test,b,e,b,no,b,b
2631,train,x,t,w,no,w,w
2632,test,f,t,h,no,h,h
2633,test,f,e,w,yes,w,h
2634,test,x,t,k,yes,w,n
2635,test,f,e,h,no,h,h
2636,train,x,t,h,no,h,h
2637,test,f,t,w,no,w,w
2638,train,x,e,h,no,h,h
2639,test,x,e,h,no,h,h
2640,train,f,t,w,yes,w,n
2641,test,x,t,w,no,w,w
2642,test,x,t,n,no,n,n
2643,train,x,e,n,no,n,n
2644,test,x,t,n,no,n,n
2645,test,f,e,w,yes,w,h
2646,test,f,t,k,yes,w,n
2647,test,x,t,h,no,h,h
2648,test,f,t,n,no,n,n
2649,test,x,e,h,no,h,h
2650,train,x,e,n,no,n,n
2651,test,f,e,h,yes,w,h
2652,test,x,e,h,no,h,h
2653,test,x,e,h,yes,w,h
2654,test,f,e,n,no,n,n
2655,test,f,t,k,no,k,k
2656,test,x,e,n,no,n,n
2657,train,x,t,w,no,w,w
2658,test,x,e,h,no,h,h
2659,test,x,t,k,no,k,k
2660,test,b,e,r,no,r,r
2661,test,f,t,n,no,n,n
2662,test,x,t,u,yes,w,n
2663,test,x,e,k,no,k,k
2664,test,k,t,w,no,w,w
2665,test,k,t,w,no,w,w
2666,train,k,t,w,no,w,w
2667,test,k,e,n,no,n,n
2668,test,f,t,n,no,n,n
2669,test,f,t,n,no,n,n
2670,test,x,e,h,yes,w,h
2671,test,f,e,n,no,n,n
2672,test,x,t,k,yes,w,n
2673,train,b,e,k,yes,w,n
2674,test,b,e,n,no,n,n
2675,test,x,e,n,no,n,n
2676,train,b,e,w,no,w,w
2677,test,x,e,w,no,w,w
2678,train,k,e,w,no,w,w
2679,test,x,e,n,no,n,n
2680,train,f,t,k,no,k,k
2681,test,x,e,h,no,h,h
2682,test,x,t,w,no,w,w
2683,test,f,t,w,yes,w,n
2684,test,x,t,n,no,n,n
2685,test,f,t,n,no,n,n
2686,test,f,t,k,no,k,k
2687,test,f,e,h,no,h,h
2688,train,b,e,n,no,n,n
2689,test,x,e,n,yes,w,h
2690,test,x,t,w,no,w,w
2691,test,x,t,k,no,k,k
2692,test,k,t,w,no,w,w
2693,test,f,t,h,no,h,h
2694,train,k,t,w,no,w,w
2695,test,x,t,k,no,k,k
2696,test,b,e,k,yes,w,n
2697,test,b,e,n,yes,w,n
2698,test,x,t,n,no,n,n
2699,test,x,t,k,no,k,k
2700,test,f,t,n,yes,w,n
2701,test,f,t,k,yes,w,n
2702,test,x,t,k,no,k,k
2703,test,b,e,w,no,w,w
2704,test,x,e,k,no,k,k
2705,test,x,e,h,no,h,h
2706,test,f,t,w,no,w,w
2707,test,f,e,h,yes,w,h
2708,test,f,t,k,no,k,k
2709,train,f,t,n,no,n,n
2710,test,x,t,n,no,n,n
2711,test,f,t,n,yes,w,n
2712,train,b,e,k,yes,w,n
2713,test,x,t,w,no,w,w
2714,train,f,t,n,yes,w,n
2715,test,f,e,h,no,h,h
2716,train,x,t,n,no,n,n
2717,test,f,e,h,no,h,h
2718,test,f,e,n,no,n,n
2719,test,k,t,w,no,w,w
2720,test,x,t,n,no,n,n
2721,train,k,t,w,no,w,w
2722,test,f,t,k,no,k,k
2723,test,x,t,w,no,w,w
2724,test,f,e,n,no,n,n
2725,train,x,t,n,no,n,n
2726,test,x,e,n,no,n,n
2727,test,f,t,k,no,k,k
2728,test,x,t,w,no,w,w
2729,test,x,e,w,no,w,w
2730,train,x,e,w,no,w,w
2731,test,f,e,h,no,h,h
2732,test,f,t,w,no,w,w
2733,test,f,e,n,no,n,n
2734,test,x,e,h,no,h,h
2735,train,b,e,k,yes,w,n
2736,train,x,e,k,no,k,k
2737,test,x,e,k,no,k,k
2738,test,x,e,n,no,n,n
2739,test,f,e,h,yes,w,h
2740,train,x,e,h,yes,w,h
2741,test,x,t,n,no,n,n
2742,test,x,e,k,yes,w,h
2743,test,f,t,w,no,w,w
2744,test,f,e,h,no,h,h
2745,train,f,t,n,yes,w,n
2746,test,f,e,h,no,h,h
2747,test,k,t,w,no,w,w
2748,test,f,e,h,no,h,h
2749,train,x,t,u,no,u,u
2750,train,x,t,n,no,n,n
2751,test,x,e,k,no,k,k
2752,test,f,t,n,no,n,n
2753,test,k,t,w,no,w,w
2754,test,x,t,h,yes,w,n
2755,test,x,t,n,no,n,n
2756,test,x,t,n,no,n,n
2757,train,x,t,h,no,h,h
2758,test,f,t,k,no,k,k
2759,test,x,t,u,no,u,u
2760,test,f,e,h,no,h,h
2761,test,f,t,n,no,n,n
2762,test,x,e,h,yes,w,h
2763,test,f,t,w,no,w,w
2764,test,b,e,w,no,w,w
2765,test,x,e,k,no,k,k
2766,test,x,e,k,no,k,k
2767,test,b,e,r,no,r,r
2768,test,x,t,n,no,n,n
2769,test,f,e,o,no,o,o
2770,test,f,t,k,no,k,k
2771,test,x,t,n,no,n,n
2772,test,x,t,n,no,n,n
2773,test,f,t,k,no,k,k
2774,test,f,e,h,no,h,h
2775,test,b,e,n,no,n,n
2776,test,f,t,n,no,n,n
2777,test,x,t,w,yes,w,n
2778,test,x,t,k,no,k,k
2779,test,f,e,h,no,h,h
2780,test,f,t,w,yes,w,n
2781,test,f,t,k,yes,w,n
2782,test,x,e,n,no,n,n
2783,train,f,e,n,no,n,n
2784,test,x,e,w,no,w,w
2785,train,x,e,k,no,k,k
2786,test,x,t,k,no,k,k
2787,test,x,t,w,no,w,w
2788,test,x,e,k,no,k,k
2789,test,x,t,w,no,w,w
2790,test,k,e,w,yes,w,w
2791,test,f,t,n,no,n,n
2792,test,x,e,w,no,w,w
2793,train,x,t,w,no,w,w
2794,test,x,e,h,yes,w,h
2795,test,b,e,k,no,k,k
2796,test,f,t,w,no,w,w
2797,test,k,t,w,no,w,w
2798,train,b,e,k,no,k,k
2799,test,x,e,k,no,k,k
2800,test,x,t,k,no,k,k
2801,test,x,t,w,no,w,w
2802,test,f,t,w,no,w,w
2803,test,x,e,h,no,h,h
2804,test,x,t,k,no,k,k
2805,test,x,t,n,no,n,n
2806,test,x,e,w,no,w,w
2807,test,x,t,h,no,h,h
2808,test,x,e,h,no,h,h
2809,test,k,e,n,yes,w,w
2810,test,x,t,k,no,k,k
2811,test,f,t,k,no,k,k
2812,train,f,t,w,yes,w,n
2813,test,x,t,w,no,w,w
2814,train,x,t,w,no,w,w
2815,test,f,t,n,no,n,n
2816,train,f,t,n,no,n,n
2817,train,x,t,n,yes,w,n
2818,test,b,e,w,no,w,w
2819,train,x,e,k,yes,w,h
2820,test,x,t,k,yes,w,n
2821,test,x,t,n,no,n,n
2822,test,x,e,h,yes,w,h
2823,test,x,e,n,no,n,n
2824,train,k,t,w,no,w,w
2825,test,x,e,n,no,n,n
2826,test,f,e,h,no,h,h
2827,test,b,e,k,no,k,k
2828,train,f,e,h,no,h,h
2829,test,k,e,w,no,w,w
2830,test,x,t,k,no,k,k
2831,test,b,e,k,no,k,k
2832,test,x,t,n,no,n,n
2833,train,k,e,w,no,w,w
2834,test,x,e,n,no,n,n
2835,test,x,e,h,no,h,h
2836,test,f,e,h,no,h,h
2837,test,x,e,h,yes,w,h
2838,test,f,t,w,no,w,w
2839,test,f,t,w,yes,w,n
2840,test,f,e,h,no,h,h
2841,test,x,e,h,no,h,h
2842,train,f,t,n,no,n,n
2843,test,b,e,n,no,n,n
2844,test,f,e,h,no,h,h
2845,test,f,t,k,no,k,k
2846,train,x,e,k,no,k,k
2847,test,x,t,h,yes,w,n
2848,test,x,e,h,no,h,h
2849,test,x,e,h,yes,w,h
2850,test,x,e,w,no,w,w
2851,test,x,t,k,no,k,k
2852,test,x,e,k,no,k,k
2853,test,x,e,n,yes,w,h
2854,train,x,e,w,no,w,w
2855,train,k,t,w,no,w,w
2856,test,x,e,n,no,n,n
2857,test,x,t,n,no,n,n
2858,test,f,t,k,no,k,k
2859,train,b,e,n,no,n,n
2860,test,x,e,o,yes,w,h
2861,train,x,t,k,no,k,k
2862,test,f,e,n,no,n,n
2863,train,k,t,w,yes,w,w
2864,test,b,e,b,no,b,b
2865,test,f,t,n,yes,w,n
2866,test,x,t,w,no,w,w
2867,test,f,t,k,no,k,k
2868,test,f,t,n,no,n,n
2869,test,x,t,w,no,w,w
2870,test,x,t,w,no,w,w
2871,test,k,t,w,no,w,w
2872,train,f,e,k,no,k,k
2873,test,x,e,h,no,h,h
2874,test,f,e,h,no,h,h
2875,test,x,t,n,no,n,n
2876,test,x,t,k,yes,w,n
2877,test,x,t,k,yes,w,n
2878,test,x,e,h,no,h,h
2879,test,x,t,k,yes,w,n
2880,train,f,t,k,no,k,k
2881,train,k,t,w,no,w,w
2882,test,x,t,w,no,w,w
2883,test,f,e,k,yes,w,h
2884,test,b,e,k,no,k,k
2885,test,f,t,w,no,w,w
2886,test,x,t,k,yes,w,n
