id,actual,clean,mode,smart
1361,e,e,e,e
1362,p,p,p,p
1363,e,e,e,e
1364,e,e,e,e
1365,p,p,p,p
1366,p,p,p,p
1367,e,e,e,e
1368,e,e,e,e
1369,e,e,e,e
1370,e,e,p,e
1371,e,e,p,e
1372,e,e,e,e
1373,e,e,p,e
1374,e,e,e,e
1375,p,p,p,p
1376,e,e,e,e
1377,e,e,p,e
1378,p,e,e,e
1379,p,e,e,e
1380,e,e,e,e
1381,p,p,p,p
1382,p,p,p,p
1383,p,p,p,e
1384,p,p,p,p
1385,p,p,p,p
1386,e,e,e,e
1387,p,e,e,e
1388,e,e,e,e
1389,e,e,e,e
1390,e,e,e,e
1391,p,p,p,p
1392,e,e,e,e
1393,p,p,p,p
1394,p,p,p,p
1395,e,e,e,e
1396,e,e,p,p
1397,p,e,e,e
1398,e,e,p,e
1399,p,p,p,p
1400,p,p,p,p
1401,p,p,p,p
1402,e,e,e,e
1403,p,p,p,p
1404,e,e,e,p
1405,e,e,e,e
1406,e,e,e,e
1407,p,p,p,p
1408,p,p,p,p
1409,e,e,e,e
1410,e,e,e,e
1411,e,e,e,e
1412,p,p,p,p
1413,e,e,e,e
1414,p,p,p,p
1415,p,p,p,p
1416,e,e,p,e
1417,p,p,p,p
1418,p,e,e,e
1419,e,e,e,e
1420,e,e,e,e
1421,e,e,e,p
1422,p,p,p,p
1423,e,e,e,e
1424,p,p,p,p
1425,e,e,e,e
1426,e,e,e,e
1427,p,p,p,p
1428,e,e,e,e
1429,p,p,p,p
1430,p,p,p,p
1431,p,p,p,p
1432,e,e,p,e
1433,e,e,e,e
1434,e,e,e,e
1435,e,e,e,e
1436,p,p,p,p
1437,p,p,p,p
1438,p,p,e,p
1439,e,e,e,e
1440,p,p,p,p
1441,p,p,p,p
1442,e,e,p,e
1443,e,e,e,e
1444,p,p,p,p
1445,e,e,e,e
1446,e,e,e,e
1447,p,p,p,p
1448,e,e,e,e
1449,p,p,p,p
1450,p,p,p,p
1451,p,p,p,p
1452,p,p,p,e
1453,p,p,p,p
1454,e,e,e,e
1455,e,e,e,e
1456,e,e,e,e
1457,p,p,p,p
1458,p,p,p,p
1459,p,e,e,e
1460,e,e,p,e
1461,e,e,e,e
1462,e,e,e,p
1463,p,p,p,p
1464,e,e,e,e
1465,p,p,p,p
1466,e,e,p,e
1467,p,p,p,p
1468,p,e,e,e
1469,e,e,p,e
1470,e,e,e,e
1471,p,p,p,p
1472,e,e,e,e
1473,e,e,p,e
1474,p,p,p,e
1475,p,p,p,p
1476,p,p,p,e
1477,p,p,p,p
1478,p,p,p,e
1479,e,e,e,e
1480,p,p,p,p
1481,e,e,e,e
1482,e,e,e,e
1483,p,p,p,p
1484,e,e,e,e
1485,p,p,p,p
1486,p,e,e,p
1487,e,e,e,e
1488,p,p,p,p
1489,e,e,e,e
1490,p,p,p,p
1491,e,e,e,e
1492,e,e,p,e
1493,e,e,e,e
1494,p,p,p,p
1495,p,p,p,p
1496,e,e,p,e
1497,p,p,p,p
1498,e,e,e,e
1499,e,e,e,p
1500,e,e,e,e
1501,e,e,e,e
1502,e,e,e,e
1503,p,p,p,p
1504,p,p,p,p
1505,e,e,p,e
1506,p,p,p,e
1507,e,e,e,e
1508,e,e,p,e
1509,p,p,p,p
1510,e,e,p,e
1511,p,p,p,p
1512,e,e,e,e
1513,p,p,p,p
1514,e,e,e,e
1515,e,e,e,e
1516,p,p,p,e
1517,p,p,p,p
1518,p,e,e,e
1519,e,e,e,e
1520,e,e,e,e
1521,e,e,e,e
1522,p,p,p,p
1523,e,e,e,e
1524,e,e,e,e
1525,p,p,p,p
1526,e,e,e,e
1527,p,p,p,p
1528,e,e,e,e
1529,e,e,p,e
1530,e,e,e,e
1531,p,p,p,p
1532,p,p,p,p
1533,e,e,e,e
1534,e,e,e,e
1535,e,e,e,e
1536,e,e,e,e
1537,p,p,p,p
1538,p,p,p,p
1539,e,e,e,e
1540,e,e,e,e
1541,e,e,p,e
1542,e,e,e,e
1543,e,e,e,e
1544,p,p,p,p
1545,e,e,p,p
1546,e,e,e,e
1547,p,p,p,p
1548,e,e,e,e
1549,p,p,p,e
1550,p,p,p,p
1551,e,e,e,e
1552,e,e,p,e
1553,p,p,p,p
1554,e,p,p,p
1555,p,p,p,p
1556,e,e,e,e
1557,e,p,p,p
1558,e,e,e,e
1559,p,p,p,p
1560,e,e,e,e
1561,p,p,p,p
1562,p,p,p,e
1563,p,p,p,p
1564,e,e,e,e
1565,p,p,p,p
1566,p,e,e,p
1567,e,e,e,e
1568,p,p,p,p
1569,e,e,e,e
1570,e,e,p,e
1571,e,e,e,e
1572,p,p,p,p
1573,e,e,e,e
1574,e,e,e,e
1575,p,p,p,p
1576,p,p,p,p
1577,p,p,p,p
1578,p,p,p,p
1579,p,p,p,p
1580,p,p,p,p
1581,e,e,e,e
1582,e,e,e,e
1583,p,p,p,p
1584,e,e,p,e
1585,e,e,e,e
1586,e,e,e,e
1587,e,e,e,e
1588,e,e,e,e
1589,e,e,p,e
1590,p,p,p,p
1591,e,e,e,e
1592,e,e,e,e
1593,e,e,e,e
1594,p,p,p,p
1595,p,p,p,p
1596,p,e,p,e
1597,e,e,p,p
1598,e,e,e,e
1599,e,e,e,e
1600,e,p,p,p
1601,e,e,e,e
1602,p,e,e,e
1603,e,e,e,e
1604,p,p,p,e
1605,p,p,p,p
1606,e,e,e,e
1607,e,e,e,e
1608,e,e,p,e
1609,e,e,e,e
1610,p,p,p,p
1611,p,p,p,p
1612,e,e,e,e
1613,p,p,p,p
1614,e,e,e,e
1615,p,p,p,p
1616,e,e,e,e
1617,e,e,p,e
1618,p,p,p,p
1619,p,p,p,p
1620,p,p,p,p
1621,p,e,e,e
1622,e,e,p,e
1623,p,p,e,p
1624,p,p,p,p
1625,e,e,p,e
1626,p,p,p,p
1627,e,e,e,e
1628,e,e,e,e
1629,p,p,p,p
1630,e,e,e,e
1631,e,e,p,e
1632,p,e,e,e
1633,e,e,p,e
1634,e,e,e,e
1635,e,e,e,p
1636,p,p,p,p
1637,p,p,p,p
1638,e,e,e,e
1639,p,p,p,p
1640,p,p,p,e
1641,e,e,e,e
1642,e,e,e,e
1643,p,p,p,p
1644,e,e,e,e
1645,p,p,p,p
1646,e,e,e,e
1647,p,p,p,p
1648,p,p,p,p
1649,p,p,p,p
1650,e,e,e,p
1651,e,e,e,e
1652,p,p,p,p
1653,e,e,e,e
1654,e,e,e,e
1655,p,p,p,p
1656,p,p,p,p
1657,e,e,e,e
1658,p,p,e,p
1659,e,e,e,e
1660,p,p,p,p
1661,p,p,p,p
1662,p,p,p,p
1663,p,p,p,p
1664,e,e,p,e
1665,e,e,e,e
1666,e,e,e,e
1667,e,e,e,e
1668,e,e,e,e
1669,p,p,p,p
1670,p,p,p,p
1671,p,p,p,p
1672,p,p,p,e
1673,e,e,e,e
1674,e,e,e,e
1675,e,e,e,e
1676,e,e,e,e
1677,e,e,e,e
1678,p,p,p,p
1679,p,p,p,p
1680,p,p,p,p
1681,e,e,e,e
1682,e,e,e,e
1683,e,e,e,e
1684,e,e,e,e
1685,e,e,e,e
1686,e,e,e,e
1687,e,e,e,e
1688,p,e,e,e
1689,p,p,p,p
1690,e,e,p,e
1691,p,e,e,e
1692,p,p,p,p
1693,p,p,p,p
1694,p,p,p,p
1695,p,p,p,p
1696,p,e,e,e
1697,p,p,p,p
1698,e,e,p,e
1699,p,p,p,p
1700,p,p,e,p
1701,p,e,e,e
1702,e,e,e,e
1703,p,p,p,p
1704,p,p,p,p
1705,p,p,p,p
1706,p,p,p,e
1707,e,e,p,e
1708,p,p,p,p
1709,p,p,p,p
1710,p,p,p,p
1711,e,e,e,e
1712,e,e,e,e
1713,p,p,p,e
1714,e,e,e,e
1715,e,e,e,e
1716,e,e,e,e
1717,e,e,p,p
1718,p,p,p,p
1719,p,e,e,e
1720,p,p,p,p
1721,e,e,e,e
1722,e,e,e,e
1723,e,e,p,e
1724,e,e,e,e
1725,e,e,e,e
1726,e,e,e,e
1727,p,p,p,e
1728,p,p,p,p
1729,p,p,p,e
1730,p,e,e,e
1731,p,p,p,p
1732,p,p,p,p
1733,p,p,p,p
1734,p,p,p,p
1735,p,p,p,p
1736,e,e,e,e
1737,e,e,e,e
1738,e,e,e,e
1739,e,e,e,e
1740,e,e,e,e
1741,e,e,e,e
1742,e,e,e,e
1743,e,e,p,e
1744,e,e,e,e
1745,e,e,e,e
1746,p,p,p,p
1747,e,e,e,e
1748,p,p,p,p
1749,e,e,e,e
1750,e,e,e,e
1751,p,p,p,p
1752,e,e,e,e
1753,p,p,p,p
1754,p,p,p,p
1755,e,e,e,e
1756,p,p,p,p
1757,p,p,p,p
1758,p,p,p,p
1759,p,p,p,p
1760,e,e,e,e
1761,e,e,e,e
1762,e,e,e,e
1763,p,p,p,p
1764,p,p,p,p
1765,e,e,p,e
1766,e,e,e,e
1767,e,e,e,p
1768,e,e,e,e
1769,e,e,e,e
1770,p,p,p,p
1771,e,e,e,e
1772,e,e,e,e
1773,e,e,e,e
1774,p,p,p,p
1775,e,e,e,e
1776,e,e,e,e
1777,p,p,p,p
1778,e,e,e,p
1779,e,e,e,e
1780,p,p,p,p
1781,p,p,p,p
1782,p,e,e,p
1783,p,p,p,p
1784,p,p,p,p
1785,e,e,p,e
1786,e,e,e,e
1787,e,e,e,e
1788,e,p,p,p
1789,e,e,p,e
1790,e,e,e,e
1791,e,e,e,p
1792,p,p,p,p
1793,p,p,p,p
1794,e,e,e,e
1795,e,e,e,e
1796,p,p,p,p
1797,p,p,p,p
1798,e,e,e,e
1799,p,p,p,p
1800,p,p,p,p
1801,e,e,e,e
1802,e,e,e,e
1803,e,e,e,e
1804,e,e,p,e
1805,p,p,p,p
1806,e,e,p,p
1807,p,p,p,p
1808,e,e,p,e
1809,p,p,p,p
1810,p,p,p,p
1811,e,e,p,e
1812,p,p,p,p
1813,p,p,p,p
1814,p,p,p,p
1815,p,e,e,e
1816,e,e,e,e
1817,e,e,p,e
1818,p,p,p,p
1819,e,e,e,e
1820,p,p,p,p
1821,e,e,e,e
1822,p,p,p,p
1823,p,p,p,p
1824,p,p,p,p
1825,p,e,e,e
1826,p,p,p,p
1827,p,p,p,p
1828,p,p,p,p
1829,p,p,p,e
1830,p,e,e,p
1831,e,e,e,e
1832,p,e,e,e
1833,e,e,e,e
1834,e,e,e,e
1835,p,p,p,p
1836,p,p,p,p
1837,e,e,e,e
1838,e,e,p,e
1839,e,e,p,e
1840,e,e,e,e
1841,e,e,p,e
1842,e,e,p,e
1843,p,p,p,p
1844,p,p,p,p
1845,e,e,e,e
1846,p,e,e,e
1847,e,e,p,e
1848,p,p,p,p
1849,e,e,e,e
1850,e,p,p,p
1851,e,e,e,p
1852,e,e,e,e
1853,e,e,p,e
1854,e,e,e,e
1855,e,e,e,e
1856,e,e,p,e
1857,e,e,e,e
1858,e,e,e,p
1859,p,p,p,p
1860,e,e,e,e
1861,e,e,e,e
1862,e,e,e,e
1863,e,e,e,e
1864,e,e,e,e
1865,p,p,p,p
1866,e,e,e,e
1867,e,e,p,e
1868,p,p,p,p
1869,e,e,p,p
1870,e,e,p,e
1871,e,e,e,e
1872,p,p,p,p
1873,p,p,p,p
1874,p,p,p,p
1875,p,p,p,p
1876,e,e,e,e
1877,p,p,p,p
1878,p,p,p,p
1879,e,e,e,e
1880,p,p,p,e
1881,p,p,p,p
1882,p,e,e,e
1883,e,e,e,e
1884,e,e,e,e
1885,p,p,p,p
1886,p,e,p,e
1887,e,e,e,e
1888,e,e,e,e
1889,p,p,p,p
1890,e,e,e,e
1891,p,p,p,p
1892,e,e,e,e
1893,p,p,p,p
1894,e,e,e,e
1895,e,e,e,e
1896,p,e,e,e
1897,e,e,e,e
1898,p,p,p,p
1899,e,e,e,e
1900,e,e,e,e
1901,p,p,p,p
1902,e,e,e,e
1903,p,p,p,p
1904,p,p,p,p
1905,p,p,p,p
1906,p,p,p,p
1907,p,e,e,e
1908,p,p,e,p
1909,e,e,e,e
1910,p,p,p,p
1911,e,e,e,e
1912,p,p,p,p
1913,p,p,p,p
1914,e,e,p,e
1915,e,e,e,e
1916,e,e,e,e
1917,p,p,e,p
1918,e,e,e,e
1919,e,e,e,e
1920,e,e,e,e
1921,p,p,p,p
1922,e,e,e,e
1923,p,p,p,p
1924,p,p,p,p
1925,p,p,p,p
1926,e,e,e,e
1927,p,p,p,p
1928,p,p,p,p
1929,p,p,p,p
1930,e,e,p,e
1931,p,p,p,p
1932,p,p,p,p
1933,e,e,e,e
1934,e,e,e,e
1935,e,e,e,e
1936,p,p,p,p
1937,e,e,e,e
1938,p,p,p,p
1939,p,p,p,p
1940,e,e,e,e
1941,p,p,p,p
1942,p,e,e,e
1943,e,e,e,p
1944,p,p,p,p
1945,p,p,p,p
1946,e,e,e,e
1947,e,e,e,e
1948,e,e,e,e
1949,p,p,p,p
1950,e,e,e,e
1951,e,e,e,e
1952,e,e,e,e
1953,p,p,p,p
1954,p,e,e,e
1955,e,e,e,e
1956,p,e,e,e
1957,e,e,e,e
1958,e,e,e,e
1959,p,p,p,p
1960,e,e,e,e
1961,p,p,p,p
1962,p,p,p,p
1963,e,e,e,e
1964,e,e,p,e
1965,e,e,p,e
1966,e,e,p,e
1967,p,p,e,p
1968,e,e,e,e
1969,p,p,p,p
1970,p,p,p,p
1971,e,e,e,e
1972,p,p,p,p
1973,e,e,p,e
1974,e,e,e,e
1975,e,e,e,e
1976,p,p,p,e
1977,e,e,e,e
1978,e,e,e,e
1979,e,e,e,e
1980,e,e,e,e
1981,e,e,e,e
1982,p,e,e,e
1983,p,p,p,p
1984,e,e,e,p
1985,e,e,p,e
1986,e,e,e,e
1987,e,e,e,e
1988,p,p,p,e
1989,e,e,e,e
1990,p,p,p,p
1991,e,e,e,e
1992,p,p,p,p
1993,p,p,p,p
1994,e,e,e,e
1995,e,e,e,e
1996,p,p,e,p
1997,e,e,e,e
1998,e,e,e,e
1999,p,p,p,p
2000,p,p,p,p
2001,e,e,e,e
2002,p,p,p,p
2003,e,e,e,e
2004,p,p,p,p
2005,p,p,p,p
2006,p,p,p,p
2007,p,p,p,p
2008,e,e,e,e
2009,e,e,p,e
2010,e,e,p,e
2011,e,e,p,e
2012,p,p,p,p
2013,p,p,p,p
2014,e,e,e,e
2015,e,e,e,e
2016,e,e,e,e
2017,e,e,e,e
2018,e,e,e,e
2019,p,p,p,p
2020,e,e,e,e
2021,e,e,e,e
2022,p,p,p,p
2023,e,e,e,e
2024,e,e,e,e
2025,p,p,p,p
2026,p,p,p,p
2027,e,e,e,e
2028,p,e,e,e
2029,e,e,e,e
2030,e,e,e,e
2031,p,p,p,p
2032,p,p,p,e
2033,e,e,e,e
2034,e,e,e,e
2035,e,e,e,e
2036,p,p,p,p
2037,e,e,p,p
2038,p,p,p,p
2039,e,e,e,e
2040,e,e,e,e
2041,p,p,p,p
2042,e,e,e,p
2043,p,p,p,p
2044,e,e,e,e
2045,p,p,p,p
2046,p,p,p,p
2047,e,e,p,e
2048,p,e,e,p
2049,e,e,p,e
2050,e,e,e,e
2051,p,p,p,p
2052,e,e,e,e
2053,p,p,p,p
2054,p,p,p,p
2055,p,p,p,p
2056,p,p,p,p
2057,p,p,p,p
2058,e,e,e,e
2059,p,p,p,p
2060,e,e,p,e
2061,e,e,p,e
2062,e,e,e,e
2063,e,e,e,e
2064,p,p,p,p
2065,p,p,p,p
2066,e,e,e,e
2067,e,e,e,e
2068,e,e,e,e
2069,p,p,p,p
2070,p,p,p,p
2071,p,p,p,p
2072,e,e,e,e
2073,e,e,e,e
2074,e,e,e,e
2075,p,p,p,p
2076,p,e,e,e
2077,e,e,e,e
2078,p,p,p,p
2079,p,p,p,p
2080,e,e,e,e
2081,p,p,p,p
2082,p,p,p,p
2083,p,p,p,p
2084,e,e,e,e
2085,p,p,p,p
2086,p,p,p,p
2087,p,p,p,p
2088,p,e,p,p
2089,e,e,e,p
2090,e,e,e,e
2091,e,e,e,e
2092,p,p,p,p
2093,e,e,e,e
2094,p,p,p,p
2095,p,p,p,p
2096,p,p,p,p
2097,e,e,p,e
2098,p,p,p,p
2099,p,p,p,p
2100,p,p,p,p
2101,e,e,e,e
2102,e,e,e,e
2103,p,p,p,p
2104,p,p,p,p
2105,e,e,e,e
2106,p,p,p,p
2107,p,p,p,p
2108,p,p,p,p
2109,p,p,p,p
2110,e,e,e,e
2111,e,e,e,e
2112,e,e,p,e
2113,e,e,e,e
2114,p,p,p,p
2115,e,e,e,e
2116,p,p,p,p
2117,e,e,e,e
2118,e,e,e,e
2119,p,p,p,p
2120,e,e,p,p
2121,p,p,p,p
2122,p,p,p,p
2123,e,e,e,e
2124,e,e,e,e
2125,p,e,e,e
2126,p,e,e,e
2127,e,e,e,e
2128,e,e,e,e
2129,p,p,p,p
2130,p,p,p,p
2131,p,p,p,p
2132,p,p,p,p
2133,p,p,p,p
2134,p,p,p,p
2135,e,e,e,e
2136,e,e,e,e
2137,p,p,p,e
2138,p,e,e,e
2139,e,e,e,e
2140,p,p,p,p
2141,e,e,e,e
2142,e,e,e,e
2143,p,e,e,e
2144,p,p,p,p
2145,e,e,e,e
2146,p,p,p,p
2147,p,p,p,e
2148,p,p,p,p
2149,p,p,p,p
2150,p,p,p,p
2151,e,e,e,e
2152,e,e,p,e
2153,e,e,e,e
2154,p,p,p,p
2155,p,e,e,e
2156,p,p,p,p
2157,e,e,e,e
2158,e,e,e,e
2159,p,p,p,p
2160,e,e,p,e
2161,e,e,e,e
2162,p,p,p,p
2163,p,p,p,p
2164,e,e,e,e
2165,p,p,p,p
2166,p,p,p,p
2167,e,e,e,e
2168,p,p,p,p
2169,e,e,e,e
2170,e,e,p,e
2171,p,p,p,p
2172,p,p,p,e
2173,e,e,e,e
2174,p,p,p,p
2175,p,e,p,e
2176,e,e,e,e
2177,p,p,p,p
2178,e,e,p,e
2179,p,p,p,p
2180,e,e,e,e
2181,e,e,e,e
2182,p,p,p,e
2183,p,p,p,e
2184,e,e,e,e
2185,e,e,e,e
2186,e,e,e,e
2187,e,e,e,e
2188,e,e,e,e
2189,p,p,p,p
2190,p,p,p,e
2191,e,e,e,e
2192,p,p,p,p
2193,p,p,p,p
2194,e,e,e,e
2195,p,p,p,p
2196,e,e,e,e
2197,p,p,p,p
2198,p,p,p,p
2199,p,e,e,p
2200,e,e,e,e
2201,p,p,p,p
2202,p,p,p,e
2203,p,p,p,p
2204,p,p,p,p
2205,e,e,p,e
2206,e,e,e,e
2207,p,p,p,p
2208,p,p,p,p
2209,p,p,p,p
2210,e,e,e,e
2211,e,e,e,e
2212,e,e,e,e
2213,p,p,p,p
2214,p,p,p,p
2215,e,e,e,e
2216,e,e,p,e
2217,e,e,e,e
2218,e,e,e,e
2219,e,e,p,e
2220,p,p,e,p
2221,p,p,p,p
2222,p,p,p,e
2223,p,p,p,p
2224,e,e,e,e
2225,e,e,e,e
2226,p,e,e,e
2227,p,e,p,e
2228,e,e,p,e
2229,e,e,e,e
2230,p,p,p,p
2231,p,p,p,p
2232,p,p,p,p
2233,p,p,p,p
2234,p,p,p,p
2235,p,p,p,p
2236,e,e,e,e
2237,p,p,p,p
2238,p,p,p,p
2239,e,e,e,e
2240,e,e,e,e
2241,e,e,e,e
2242,e,e,e,e
2243,p,p,p,p
2244,e,e,e,e
2245,e,e,e,e
2246,p,p,e,p
2247,p,p,e,p
2248,p,p,p,p
2249,p,p,p,p
2250,e,e,e,e
2251,p,p,p,p
2252,e,e,e,e
2253,p,p,p,p
2254,p,p,p,p
2255,e,e,e,e
2256,e,e,e,e
2257,p,e,e,e
2258,e,e,e,e
2259,e,e,p,e
2260,e,e,p,e
2261,e,e,p,e
2262,e,e,p,e
2263,e,e,e,e
2264,e,e,e,e
2265,e,e,e,e
2266,p,p,p,e
2267,e,e,e,e
2268,p,p,p,p
2269,e,e,e,e
2270,e,e,e,e
2271,e,e,e,e
2272,p,e,e,p
2273,p,p,p,p
2274,p,p,p,p
2275,p,p,p,p
2276,e,e,e,e
2277,e,e,e,e
2278,e,e,p,e
2279,p,p,p,p
2280,e,e,e,e
2281,p,p,p,p
2282,e,e,p,e
2283,e,e,e,e
2284,e,e,e,e
2285,e,e,p,e
2286,e,e,e,e
2287,e,p,p,p
2288,p,e,p,p
2289,e,e,e,e
2290,p,p,p,p
2291,e,e,e,e
2292,e,e,e,e
2293,e,e,e,e
2294,p,p,p,p
2295,p,p,p,p
2296,p,p,p,p
2297,e,e,e,e
2298,e,e,e,e
2299,e,e,e,e
2300,p,p,p,p
2301,e,e,e,e
2302,e,e,e,e
2303,e,e,e,e
2304,e,e,p,e
2305,p,p,p,p
2306,e,e,e,e
2307,e,e,e,e
2308,e,e,e,e
2309,p,p,p,p
2310,p,p,p,p
2311,e,e,e,e
2312,e,e,e,e
2313,p,p,p,p
2314,e,e,e,e
2315,p,p,p,p
2316,e,e,e,e
2317,e,e,e,e
2318,p,p,p,p
2319,e,e,e,e
2320,e,e,e,e
2321,e,e,e,e
2322,p,p,p,p
2323,e,e,p,e
2324,e,e,e,e
2325,p,p,p,p
2326,e,e,e,e
2327,e,e,e,e
2328,e,e,e,e
2329,e,e,e,e
2330,p,e,e,p
2331,e,e,e,e
2332,e,e,e,e
2333,e,e,e,e
2334,e,e,p,e
2335,p,p,p,p
2336,e,e,e,e
2337,e,e,e,e
2338,p,p,p,p
2339,p,p,p,p
2340,e,e,e,e
2341,e,e,e,e
2342,p,e,e,p
2343,e,e,e,e
2344,p,p,p,p
2345,e,e,e,e
2346,p,p,p,p
2347,e,e,e,e
2348,e,e,e,e
2349,e,e,e,e
2350,e,e,e,e
2351,p,e,e,e
2352,e,e,p,e
2353,p,p,p,p
2354,e,e,e,e
2355,e,e,e,e
2356,p,p,p,p
2357,p,p,p,p
2358,p,p,p,p
2359,p,p,p,p
2360,p,e,e,e
2361,e,e,e,e
2362,e,e,e,e
2363,p,p,p,p
2364,p,p,p,p
2365,p,p,p,p
2366,p,p,p,p
2367,p,p,p,p
2368,p,p,p,p
2369,e,e,e,e
2370,p,p,p,p
2371,e,e,p,p
2372,p,p,p,p
2373,p,p,p,p
2374,p,p,p,p
2375,e,e,p,e
2376,p,p,p,p
2377,p,p,p,p
2378,e,e,e,e
2379,p,p,p,p
2380,p,e,e,p
2381,e,e,e,e
2382,p,p,p,p
2383,e,e,e,e
2384,e,e,e,e
2385,p,p,p,p
2386,p,p,p,p
2387,p,p,p,p
2388,p,p,p,p
2389,p,p,p,p
2390,p,p,p,p
2391,p,p,p,p
2392,e,e,e,e
2393,e,e,e,e
2394,p,p,p,p
2395,p,p,p,p
2396,p,p,p,p
2397,e,e,e,e
2398,p,e,e,e
2399,e,e,e,e
2400,p,p,p,p
2401,e,e,p,e
2402,p,p,p,p
2403,p,p,p,p
2404,e,e,e,e
2405,e,e,e,e
2406,p,p,p,p
2407,p,p,p,p
2408,e,e,e,e
2409,e,e,e,e
2410,e,e,e,e
2411,e,e,e,e
2412,p,p,p,p
2413,e,e,e,e
2414,e,e,e,e
2415,e,e,e,e
2416,p,p,p,p
2417,p,p,p,p
2418,p,p,p,p
2419,e,e,e,e
2420,e,e,p,e
2421,e,e,e,e
2422,e,e,e,e
2423,p,p,p,p
2424,e,e,e,e
2425,p,p,p,p
2426,e,e,e,e
2427,p,p,p,p
2428,p,p,p,p
2429,e,e,e,e
2430,e,e,e,e
2431,e,e,e,e
2432,e,e,e,e
2433,p,p,p,p
2434,e,e,e,e
2435,e,e,e,e
2436,p,p,p,p
2437,e,e,e,e
2438,p,p,p,p
2439,p,p,p,p
2440,e,e,e,e
2441,e,e,e,e
2442,e,e,e,e
2443,e,e,e,e
2444,p,p,p,p
2445,e,e,e,e
2446,e,e,e,e
2447,e,e,e,e
2448,p,p,p,p
2449,e,e,e,e
2450,e,e,e,e
2451,e,e,e,e
2452,e,e,p,e
2453,p,e,e,p
2454,e,e,e,e
2455,p,p,p,p
2456,p,p,e,p
2457,p,e,e,p
2458,p,p,p,p
2459,p,p,p,p
2460,e,e,e,e
2461,e,e,e,e
2462,e,e,e,e
2463,e,e,p,e
2464,e,e,e,e
2465,e,e,p,e
2466,e,e,e,e
2467,p,p,p,p
2468,p,p,p,p
2469,p,p,p,p
2470,e,e,e,e
2471,e,e,e,e
2472,p,p,p,p
2473,e,e,e,e
2474,p,p,p,p
2475,p,p,p,p
2476,p,e,e,e
2477,p,p,p,p
2478,e,e,e,e
2479,e,e,p,e
2480,p,p,p,p
2481,p,p,p,p
2482,p,p,p,p
2483,p,e,e,e
2484,p,p,p,p
2485,e,e,e,e
2486,p,p,p,p
2487,e,e,e,e
2488,e,e,e,e
2489,e,e,e,e
2490,e,e,e,p
2491,e,e,e,e
2492,p,p,p,p
2493,e,e,e,e
2494,p,e,e,p
2495,e,e,e,e
2496,e,e,e,e
2497,e,e,e,e
2498,p,p,p,p
2499,p,p,p,p
2500,e,e,e,e
2501,e,e,e,e
2502,e,e,e,e
2503,e,e,e,e
2504,e,e,e,e
2505,p,p,e,p
2506,e,e,p,e
2507,p,e,e,e
2508,p,p,p,p
2509,e,e,e,e
2510,e,p,e,p
2511,e,e,e,e
2512,e,e,e,e
2513,e,p,p,p
2514,p,p,p,p
2515,e,e,e,e
2516,p,p,p,p
2517,e,e,e,e
2518,e,e,e,e
2519,e,e,e,e
2520,p,p,p,p
2521,e,e,e,e
2522,p,p,p,p
2523,e,e,e,p
2524,e,e,e,e
2525,p,p,p,p
2526,p,p,p,p
2527,p,e,e,p
2528,e,e,e,e
2529,p,p,p,p
2530,e,e,e,e
2531,p,p,p,p
2532,p,p,p,p
2533,p,p,p,p
2534,e,e,e,e
2535,p,p,p,p
2536,e,e,p,e
2537,e,e,p,e
2538,p,p,p,p
2539,p,p,p,p
2540,p,p,p,p
2541,e,e,e,e
2542,e,e,e,e
2543,p,p,p,p
2544,p,p,p,p
2545,e,e,e,e
2546,e,e,e,e
2547,p,p,p,p
2548,e,e,e,e
2549,p,p,p,p
2550,e,e,e,e
2551,p,p,p,p
2552,p,e,e,e
2553,p,e,e,e
2554,e,e,e,e
2555,p,p,p,e
2556,e,e,e,e
2557,p,p,p,p
2558,p,e,e,e
2559,p,p,p,e
2560,p,e,e,e
2561,e,e,e,e
2562,p,p,p,p
2563,e,e,e,e
2564,p,p,p,p
2565,e,e,e,e
2566,e,e,e,p
2567,e,e,e,e
2568,p,p,p,p
2569,e,e,e,p
2570,p,p,p,p
2571,p,p,p,p
2572,p,p,p,p
2573,p,e,e,p
2574,e,e,e,e
2575,p,e,e,e
2576,p,p,p,p
2577,p,p,p,p
2578,e,e,e,e
2579,e,e,e,e
2580,p,p,p,p
2581,e,e,p,e
2582,p,e,p,p
2583,p,p,p,e
2584,e,e,e,e
2585,e,e,e,e
2586,e,e,e,p
2587,p,p,p,e
2588,e,e,e,e
2589,e,e,p,e
2590,e,e,e,e
2591,e,e,e,e
2592,p,p,p,p
2593,e,e,e,e
2594,p,e,e,e
2595,e,e,e,e
2596,p,p,p,p
2597,p,p,p,p
2598,p,p,p,p
2599,p,p,p,p
2600,e,e,e,e
2601,p,p,p,p
2602,e,e,e,e
2603,e,e,e,e
2604,p,p,p,e
2605,e,e,e,e
2606,e,e,p,e
2607,e,e,e,e
2608,p,p,p,e
2609,e,e,e,p
2610,p,p,p,p
2611,e,e,e,e
2612,p,p,p,p
2613,e,e,e,e
2614,p,p,p,p
2615,e,e,e,e
2616,e,e,e,e
2617,e,e,e,e
2618,p,p,p,p
2619,p,p,p,p
2620,e,e,e,e
2621,e,e,e,e
2622,p,p,p,p
2623,e,e,e,e
2624,e,e,e,e
2625,p,p,p,p
2626,e,e,e,e
2627,p,p,p,p
2628,p,p,p,p
2629,e,e,p,e
2630,e,e,e,e
2631,p,p,p,p
