id,actual,lr,knn,lda,svm_w,svm,nb,nn,rf
446,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
447,MED,MED,MED,MED,MED,MED,MED,MED,MED
448,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
449,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
450,MED,MED,LOW,MED,MED,MED,HIGH,MED,MED
451,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
452,HIGH,MED,MED,MED,HIGH,MED,HIGH,MED,HIGH
453,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
454,MED,MED,MED,MED,MED,MED,LOW,MED,MED
455,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
456,MED,MED,MED,MED,MED,MED,LOW,MED,MED
457,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
458,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
460,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
461,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
462,MED,MED,MED,MED,MED,MED,MED,MED,MED
463,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
464,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
465,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
466,MED,MED,MED,MED,MED,MED,MED,MED,MED
467,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
468,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
469,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
470,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
471,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
472,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
473,MED,MED,MED,MED,MED,MED,MED,MED,MED
474,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
475,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
476,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
478,MED,MED,MED,MED,MED,MED,LOW,MED,MED
480,MED,MED,MED,MED,MED,MED,MED,MED,MED
481,LOW,LOW,LOW,MED,LOW,LOW,HIGH,LOW,LOW
482,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
483,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
484,LOW,LOW,MED,MED,LOW,LOW,MED,LOW,LOW
485,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
486,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
487,LOW,LOW,LOW,MED,LOW,LOW,HIGH,LOW,LOW
488,MED,MED,LOW,MED,MED,MED,HIGH,MED,MED
491,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
492,MED,MED,MED,MED,MED,MED,MED,MED,MED
493,LOW,LOW,MED,LOW,LOW,LOW,HIGH,LOW,LOW
494,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
495,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
496,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
497,LOW,LOW,MED,LOW,LOW,LOW,LOW,MED,LOW
498,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
499,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
500,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
501,MED,MED,LOW,MED,MED,MED,HIGH,MED,MED
502,LOW,LOW,MED,LOW,LOW,LOW,HIGH,LOW,LOW
503,MED,MED,MED,MED,MED,MED,LOW,MED,MED
504,MED,MED,MED,MED,MED,MED,MED,MED,MED
505,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
506,LOW,LOW,MED,LOW,LOW,LOW,MED,LOW,LOW
508,HIGH,MED,MED,MED,HIGH,MED,HIGH,MED,HIGH
509,HIGH,MED,MED,MED,HIGH,MED,MED,MED,MED
510,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
511,MED,MED,MED,MED,MED,MED,LOW,MED,MED
512,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
513,MED,MED,MED,MED,MED,MED,MED,MED,MED
514,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
515,LOW,LOW,MED,MED,LOW,MED,HIGH,MED,LOW
516,MED,MED,MED,MED,MED,MED,MED,MED,MED
517,LOW,LOW,LOW,MED,LOW,LOW,HIGH,MED,LOW
518,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
519,MED,MED,MED,MED,MED,MED,MED,MED,MED
520,LOW,LOW,MED,LOW,LOW,LOW,HIGH,LOW,LOW
521,MED,MED,MED,MED,MED,MED,MED,MED,MED
522,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
523,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
524,MED,MED,MED,MED,MED,MED,MED,MED,MED
525,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
526,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
527,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
528,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
529,MED,MED,MED,MED,MED,MED,LOW,MED,MED
530,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
531,MED,MED,MED,MED,MED,MED,LOW,MED,MED
532,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
533,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
534,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
535,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
536,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
538,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
539,LOW,LOW,MED,MED,LOW,LOW,HIGH,LOW,LOW
540,MED,MED,MED,MED,MED,MED,MED,MED,MED
541,MED,MED,MED,MED,MED,MED,LOW,MED,MED
542,MED,MED,MED,MED,MED,MED,MED,MED,MED
544,LOW,LOW,LOW,MED,LOW,LOW,LOW,LOW,LOW
545,MED,MED,MED,MED,MED,MED,MED,MED,MED
546,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
547,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
548,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
549,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
550,MED,MED,MED,MED,MED,MED,LOW,MED,MED
551,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
552,LOW,LOW,LOW,MED,LOW,LOW,HIGH,LOW,LOW
553,MED,MED,MED,MED,MED,MED,MED,MED,MED
554,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
555,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
556,MED,MED,MED,MED,MED,MED,LOW,MED,MED
557,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
558,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
560,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
561,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
562,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
563,MED,MED,MED,MED,MED,MED,LOW,MED,MED
564,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
565,LOW,LOW,MED,MED,LOW,MED,HIGH,MED,LOW
566,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
567,MED,MED,MED,MED,MED,MED,LOW,MED,MED
568,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
569,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
570,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
571,MED,MED,MED,MED,MED,MED,MED,MED,MED
572,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
573,HIGH,MED,MED,MED,HIGH,MED,MED,MED,MED
574,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
575,MED,MED,MED,MED,MED,MED,MED,MED,MED
576,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
577,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
578,MED,MED,MED,MED,MED,MED,MED,MED,MED
579,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
580,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
581,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
582,MED,MED,MED,MED,MED,MED,LOW,MED,MED
583,MED,MED,MED,MED,MED,MED,MED,MED,MED
584,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
585,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
586,MED,MED,MED,MED,MED,MED,LOW,MED,MED
587,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
588,HIGH,MED,MED,MED,HIGH,MED,HIGH,MED,HIGH
589,MED,MED,MED,MED,MED,MED,LOW,MED,MED
590,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
591,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
592,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
594,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
595,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
596,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
597,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
598,MED,MED,MED,MED,MED,MED,MED,MED,MED
599,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
600,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
601,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
602,HIGH,MED,MED,MED,HIGH,MED,HIGH,MED,MED
603,MED,MED,MED,MED,MED,MED,LOW,MED,MED
604,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
605,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
606,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
607,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
608,MED,MED,MED,MED,MED,MED,MED,MED,MED
609,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
610,MED,MED,MED,MED,MED,MED,LOW,MED,MED
611,MED,MED,MED,MED,MED,MED,MED,MED,MED
612,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
613,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
614,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
615,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
616,MED,MED,MED,MED,MED,MED,LOW,MED,MED
617,LOW,LOW,LOW,MED,LOW,LOW,LOW,LOW,LOW
618,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
619,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
620,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
621,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
622,LOW,LOW,LOW,MED,LOW,LOW,HIGH,LOW,LOW
623,MED,MED,MED,MED,MED,MED,LOW,MED,MED
625,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
626,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
627,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
628,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
629,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
630,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
631,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
632,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
633,MED,MED,MED,MED,MED,MED,MED,MED,MED
634,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
635,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
636,MED,MED,MED,MED,MED,MED,MED,MED,MED
637,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
638,LOW,LOW,LOW,MED,LOW,MED,HIGH,MED,LOW
639,MED,MED,MED,MED,HIGH,MED,HIGH,MED,MED
641,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
643,LOW,LOW,MED,LOW,LOW,LOW,LOW,LOW,LOW
644,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
646,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
647,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
648,HIGH,MED,MED,HIGH,HIGH,MED,HIGH,MED,HIGH
649,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
650,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
651,MED,MED,MED,MED,MED,MED,MED,MED,MED
652,LOW,LOW,MED,LOW,LOW,LOW,LOW,LOW,LOW
653,MED,MED,MED,MED,MED,MED,MED,MED,MED
654,HIGH,MED,MED,MED,HIGH,MED,HIGH,MED,HIGH
655,MED,MED,MED,MED,MED,MED,MED,MED,MED
656,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
657,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
658,MED,MED,MED,MED,MED,MED,MED,MED,MED
659,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
660,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
661,MED,MED,MED,MED,MED,MED,MED,MED,MED
662,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
663,MED,MED,MED,MED,MED,MED,MED,MED,MED
664,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
665,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
666,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
667,MED,MED,MED,MED,MED,MED,LOW,MED,MED
668,MED,MED,MED,MED,MED,MED,MED,MED,MED
669,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
670,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
671,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
672,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
673,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
674,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
675,LOW,LOW,LOW,MED,LOW,LOW,LOW,LOW,LOW
677,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
678,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
679,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
680,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
681,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
682,MED,MED,MED,MED,MED,MED,LOW,MED,MED
683,HIGH,MED,MED,MED,HIGH,MED,HIGH,MED,HIGH
684,MED,MED,MED,MED,MED,MED,MED,MED,MED
686,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
687,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
688,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
689,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
690,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
691,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
692,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
693,MED,MED,MED,MED,MED,MED,MED,MED,MED
694,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
695,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
696,MED,MED,MED,MED,MED,MED,LOW,MED,MED
697,HIGH,MED,MED,MED,HIGH,MED,HIGH,MED,MED
698,MED,MED,MED,MED,MED,MED,MED,MED,MED
699,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
700,MED,MED,MED,MED,MED,MED,MED,MED,MED
701,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
702,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
703,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
704,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
705,LOW,LOW,MED,MED,LOW,MED,HIGH,MED,LOW
706,MED,MED,MED,MED,MED,MED,MED,MED,MED
707,MED,MED,MED,MED,MED,MED,MED,MED,MED
708,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
709,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
710,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
711,MED,MED,MED,MED,MED,MED,MED,MED,MED
712,HIGH,MED,MED,MED,HIGH,MED,HIGH,MED,MED
714,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
715,HIGH,MED,MED,MED,HIGH,MED,HIGH,MED,HIGH
716,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
717,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
718,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
719,HIGH,MED,MED,MED,HIGH,MED,HIGH,MED,HIGH
720,MED,MED,MED,MED,MED,MED,MED,MED,MED
721,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
722,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
723,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
724,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
725,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
726,MED,MED,MED,MED,MED,MED,LOW,MED,MED
727,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
728,LOW,LOW,MED,MED,LOW,MED,MED,LOW,LOW
729,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
730,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
731,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
732,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
733,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
734,MED,MED,MED,MED,MED,MED,MED,MED,MED
735,MED,MED,MED,MED,MED,MED,MED,MED,MED
736,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
737,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
738,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
739,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
740,LOW,LOW,MED,MED,LOW,LOW,HIGH,LOW,LOW
741,MED,MED,MED,MED,MED,MED,MED,MED,MED
742,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
743,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
744,MED,MED,MED,MED,MED,MED,MED,MED,MED
745,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
746,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
747,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
748,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
749,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
750,MED,MED,MED,MED,MED,MED,LOW,MED,MED
751,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
752,MED,MED,MED,MED,MED,MED,LOW,MED,MED
753,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
754,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
755,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
756,MED,MED,MED,MED,MED,MED,LOW,MED,MED
758,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
759,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
760,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
761,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
762,LOW,LOW,LOW,MED,LOW,MED,HIGH,MED,LOW
763,MED,MED,MED,MED,MED,MED,LOW,MED,MED
764,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
765,MED,MED,MED,MED,MED,MED,LOW,MED,MED
766,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
767,MED,MED,MED,MED,MED,MED,MED,MED,MED
768,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
769,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
770,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
771,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
772,MED,MED,MED,MED,MED,MED,MED,MED,MED
774,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
775,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
776,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
777,MED,MED,MED,MED,MED,MED,LOW,MED,MED
778,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
779,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
781,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
782,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
783,LOW,LOW,MED,MED,LOW,MED,HIGH,MED,LOW
784,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
785,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
786,MED,MED,MED,MED,MED,MED,MED,MED,MED
787,MED,MED,MED,MED,MED,MED,MED,MED,MED
788,MED,MED,MED,MED,MED,MED,MED,MED,MED
790,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
791,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
792,MED,MED,MED,MED,MED,MED,LOW,MED,MED
793,MED,MED,MED,MED,MED,MED,LOW,MED,MED
794,HIGH,MED,MED,MED,HIGH,MED,HIGH,MED,HIGH
795,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
796,LOW,LOW,MED,LOW,LOW,LOW,HIGH,LOW,LOW
797,MED,MED,MED,MED,MED,MED,MED,MED,MED
798,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
799,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
800,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
801,MED,MED,MED,MED,LOW,MED,LOW,MED,MED
802,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
803,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
804,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
805,MED,MED,MED,MED,MED,MED,LOW,MED,MED
806,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
807,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
808,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
809,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
811,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
812,HIGH,MED,MED,MED,HIGH,MED,HIGH,MED,MED
813,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
814,MED,MED,MED,MED,MED,MED,MED,MED,MED
815,MED,MED,MED,MED,MED,MED,LOW,MED,MED
817,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
818,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
819,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
820,MED,MED,MED,MED,LOW,MED,MED,MED,MED
822,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
823,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
824,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
825,LOW,LOW,MED,MED,LOW,MED,MED,MED,LOW
827,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
828,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
829,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
830,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
831,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
832,LOW,LOW,MED,MED,LOW,MED,MED,LOW,LOW
834,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
835,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
836,HIGH,MED,MED,MED,HIGH,MED,HIGH,MED,HIGH
837,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
838,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
839,MED,MED,MED,MED,MED,MED,MED,MED,MED
840,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
841,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
842,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
843,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
844,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
845,MED,MED,MED,MED,HIGH,MED,HIGH,MED,MED
846,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
847,MED,MED,MED,MED,MED,MED,LOW,MED,MED
848,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
849,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
850,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
851,HIGH,MED,MED,MED,HIGH,MED,HIGH,MED,HIGH
852,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
853,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
854,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
855,HIGH,MED,MED,MED,HIGH,MED,HIGH,MED,HIGH
856,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
858,HIGH,MED,MED,MED,HIGH,MED,HIGH,MED,MED
859,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
860,MED,MED,MED,MED,MED,MED,LOW,MED,MED
861,MED,MED,MED,MED,MED,MED,MED,MED,MED
862,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
863,MED,MED,MED,MED,MED,MED,LOW,MED,MED
864,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
865,LOW,LOW,LOW,MED,LOW,LOW,LOW,LOW,LOW
866,MED,MED,MED,MED,MED,MED,LOW,MED,MED
867,MED,MED,MED,MED,MED,MED,MED,MED,MED
868,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
869,MED,MED,MED,MED,MED,MED,LOW,MED,MED
870,MED,MED,MED,MED,MED,MED,MED,MED,MED
871,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
872,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
873,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
874,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
875,LOW,LOW,MED,MED,LOW,LOW,MED,LOW,LOW
876,MED,MED,MED,MED,MED,MED,LOW,MED,MED
877,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
878,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
879,LOW,LOW,LOW,MED,LOW,LOW,MED,LOW,LOW
880,MED,MED,MED,MED,MED,MED,MED,MED,MED
881,MED,MED,MED,MED,MED,MED,MED,MED,MED
882,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
883,MED,MED,MED,MED,MED,MED,MED,MED,MED
884,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
885,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
886,MED,MED,MED,MED,MED,MED,LOW,MED,MED
887,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
888,MED,MED,MED,MED,MED,MED,MED,MED,MED
889,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
892,MED,MED,MED,MED,MED,MED,LOW,MED,MED
893,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
894,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
895,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
